                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.62242,                0.39576,                0.90836,                0.95738,                0.30488,                0.33365,                  0.186,                 1.7832,                 3.1231,                 1.0966,              0.0002378,              0.0002378,              0.0002378
                     91,                0.66581,                 0.3946,                 0.9155,                0.92589,                0.45716,                0.52711,                0.28141,                 1.7832,                 3.1231,                 1.0966,               0.000218,               0.000218,               0.000218
                     92,                0.65626,                0.39157,                0.91114,                0.92335,                0.44078,                0.49221,                 0.2654,                 1.7069,                 2.2978,                 1.0512,              0.0001982,              0.0001982,              0.0001982
                     93,                0.67676,                0.43793,                0.93374,                0.93014,                0.64949,                0.73107,                0.40615,                 1.7069,                 2.2978,                 1.0512,              0.0001784,              0.0001784,              0.0001784
                     94,                0.64278,                0.39853,                0.93117,                0.89718,                0.35366,                0.38523,                0.21106,                 1.6949,                 2.0957,                 1.0469,              0.0001586,              0.0001586,              0.0001586
                     95,                0.59087,                0.35283,                0.88084,                0.86978,                0.57024,                0.60536,                0.33288,                 1.6949,                 2.0957,                 1.0469,              0.0001388,              0.0001388,              0.0001388
                     96,                0.57673,                0.34239,                0.89853,                0.93175,                0.37805,                0.40815,                0.22198,                  1.657,                 1.8942,                 1.0235,               0.000119,               0.000119,               0.000119
                     97,                0.58613,                0.34676,                0.88132,                0.93567,                0.62195,                 0.6543,                0.34923,                  1.657,                 1.8942,                 1.0235,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.60628,                0.35843,                0.88204,                0.90539,                 0.2561,                0.28896,                0.15879,                 1.6537,                 1.7985,                 1.0287,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.58865,                0.35175,                0.92036,                0.94218,                    0.5,                0.55234,                0.30592,                 1.6537,                 1.7985,                 1.0287,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.56223,                0.32755,                 0.8944,                 0.9162,                0.26674,                0.29614,                0.16625,                 1.6458,                 1.7055,                 1.0143,               3.98e-05,               3.98e-05,               3.98e-05
